iter	RMSE
167	420052.5952
168	419080.6438
169	418936.3407
170	418810.094
171	418676.8119
172	418556.3668
173	418426.987
174	418326.817
175	418023.1914
176	417942.9542
177	417783.1408
178	417630.7584
179	417412.6833
180	417141.8307
181	416817.9609
182	416713.3942
183	415874.8774
184	415768.0694
185	415601.7563
186	415406.7418
187	415215.8933
188	414913.6042
189	414802.991
190	414663.6081
191	414553.1173
192	414353.2074
193	414220.7019
194	414112.3776
195	414003.9563
196	413812.4017
197	413713.196
198	413591.3565
199	413502.7731
200	413387.4987
201	413222.1299
202	412161.5791
203	412054.046
204	411954.1785
205	411850.2915
206	411750.2977
207	411578.9574
208	411484.708
209	411371.6222
210	410966.2898
211	410830.5912
212	410737.4492
213	410646.5282
214	410501.6399
215	410084.6659
216	409998.2526
217	409831.979
218	409646.2789
219	409459.51
220	409309.3863
221	409224.9421
222	409143.3246
223	408990.5879
224	408855.1072
225	408773.9677
226	408623.8622
227	408544.8193
228	408422.4856
229	408344.7515
230	407792.0452
231	407358.8233
232	407282.5954
233	407207.0762
234	407063.419
235	406912.4444
236	406787.3087
237	406713.2043
238	406640.9702
239	406569.9435
240	406435.5592
241	406300.2352
242	406176.2663
243	406105.6812
244	405989.6087
245	405915.5693
246	405615.4941
247	405377.5761
248	405266.6658
249	405198.3862
250	405093.5706
251	405026.4747
252	404914.871
253	404848.8372
254	404727.3761
255	404560.6583
256	404495.3506
257	403843.5272
258	403328.8262
259	403061.0251
260	402945.9409
261	402881.0913
262	402817.4453
263	402219.5846
264	401916.1546
265	401808.0156
266	401745.3178
267	401684.0931
268	401574.5366
269	401340.4117
270	401225.7702
271	401133.5768
272	401073.1332
273	400787.8042
274	400581.6752
275	400477.4638
276	400028.2505
277	399913.7638
278	399853.5723
279	399794.6824
280	399592.7749
281	399328.5972
282	399234.4885
283	399176.2776
284	399060.4672
285	399003.3166
286	398572.8914
287	398473.7183
288	398417.2415
289	398327.502
290	398148.0479
291	398033.1484
292	397977.7615
293	397923.0112
294	397833.8734
295	397779.8411
296	397692.4271
297	397260.1218
298	397063.4996
299	396960.3708
300	396906.7145
301	396784.1405
302	396703.6915
303	396477.5382
304	396424.8725
305	396319.7309
306	396267.6321
307	396180.0614
308	396128.8422
309	396047.9958
310	395784.1653
311	395531.9016
312	395411.3407
313	395171.2349
314	395005.9303
315	394924.8503
316	394697.4611
317	394645.9777
318	394595.1592
319	394377.0293
320	394297.9111
321	394090.5329
322	393995.4002
323	393798.4306
324	393747.8607
325	393633.6832
326	393445.599
327	393265.9476
328	393215.8312
329	393060.5432
330	393011.0193
331	392931.8281
332	392854.3455
333	392805.3525
334	392686.5566
335	392637.9802
336	392545.4224
337	392445.001
338	392397.0268
339	392349.3432
340	392274.7717
341	392227.8145
342	392181.1923
343	392135.011
344	392031.3455
345	391942.7639
346	391255.0648
347	391111.7293
348	391008.8322
349	390962.4994
350	390857.7959
351	390812.0516
352	390739.8583
353	390088.3584
354	389980.7671
355	389883.674
356	389793.1957
357	389706.5577
358	389660.926
359	389556.1658
360	389510.8551
361	389466.2477
362	389398.6204
363	389230.5204
364	389162.7871
365	389082.9151
366	388878.3746
367	388786.8882
368	388741.47
369	388676.897
370	388632.5726
371	388588.5794
372	388545.0043
373	387599.9927
374	387463.6011
375	387399.9125
376	387356.6982
377	386985.42
378	386907.4815
379	386864.4403
380	386772.9568
381	386730.5526
382	386688.3244
383	386646.4868
384	386452.9811
385	386411.599
386	386316.7595
387	386275.6647
388	386172.431
389	386131.707
390	386070.3343
391	386029.9839
392	385989.8791
393	385950.1606
394	385888.8325
395	385825.5344
396	385749.3149
397	385709.9319
398	385670.7968
399	385596.5702
400	385530.5868
401	385473.4489
402	384939.0152
403	384879.171
404	384824.5065
405	384064.572
406	383980.8421
407	383928.1069
408	383888.7937
409	383790.3721
410	383609.9141
411	383571.1658
412	383472.9547
413	383434.5319
414	383396.4894
415	383341.311
416	383303.466
417	383265.9726
418	383189.6815
419	383152.5532
420	383026.5828
421	382936.151
422	382899.316
423	382862.7464
424	382760.3786
425	382724.1194
426	381869.693
427	381794.2032
428	381757.6572
429	381721.7027
430	381643.7334
431	381511.2307
432	381456.7844
433	381421.0368
434	381385.8815
435	381315.0817
436	381261.8282
437	381206.8408
438	381171.8399
439	381016.0145
440	380981.2135
441	380946.7995
442	380861.3979
443	380827.2103
444	380761.5722
445	380711.161
446	380677.2181
447	380643.6725
448	380592.8106
449	380540.7926
450	380507.4287
451	380457.7461
452	380424.682
453	380104.2845
454	380039.8096
455	380006.2498
456	379940.5934
457	379849.4128
458	379816.1303
459	379727.1774
460	379593.3335
461	379560.2608
462	379499.6001
463	379466.9379
464	379434.6908
465	379402.7232
466	379338.8536
467	379289.9222
468	379258.2431
469	379226.8856
470	378707.6858
471	378660.4121
472	378628.7462
473	378597.455
474	378478.3892
475	378447.61
476	378387.9401
477	378260.1851
478	378129.8387
479	378099.0594
480	378068.6831
481	377963.5496
482	377914.9883
483	377734.255
484	377703.8286
485	377656.5845
486	377599.9014
487	377358.759
488	377312.9581
489	377253.6247
490	377212.2937
491	377182.0129
492	377152.1001
493	377097.0773
494	377067.4283
495	377037.984
496	376940.9077
497	376911.7286
498	376882.729
499	376805.4425
500	376776.581
501	376747.9634
502	376719.5845
503	376662.8886
504	376427.1545
505	376398.8677
506	376370.7698
507	376327.7807
508	376299.9966
509	376195.3924
510	376153.3056
511	376097.5993
512	376069.9774
513	375846.3063
514	375818.9372
515	375696.0851
516	375185.9753
517	375131.201
518	374334.8949
519	374123.3255
520	374076.2155
521	374048.4871
522	374021.1638
523	373959.1125
524	373917.0474
525	373875.4011
526	373848.4273
527	373785.4756
528	373737.5958
529	373607.1601
530	373543.0287
531	373499.9677
532	373473.1466
533	373426.3935
534	373228.0453
535	373201.4258
536	373150.6773
537	373124.3917
538	373098.2515
539	373072.2942
540	373046.5807
541	372934.8498
542	372909.1628
543	372869.923
544	372844.5471
545	372793.1968
546	372639.4894
547	372613.9252
548	372575.6017
549	372550.3717
550	372502.994
551	372477.9922
552	372439.0046
553	372404.3579
554	372379.5615
555	372354.8648
556	372228.3142
557	372105.8654
558	372081.3943
559	372013.6892
560	371886.2775
561	371861.7082
562	371837.4822
563	371214.4678
564	371190.1769
565	371152.0916
566	371004.9058
567	370980.7361
568	370935.6051
569	370911.821
570	370888.1394
571	370851.0392
572	370814.1256
573	370703.1341
574	370641.5897
575	370618.0706
576	370561.8672
577	369822.6835
578	369799.0526
579	369762.4217
580	369627.0028
581	369603.4931
582	369580.4052
583	369494.272
584	369204.4739
585	369181.3329
586	369158.3057
587	369082.945
588	369048.9639
589	369005.9367
590	368983.1718
591	368903.5016
592	368880.9346
593	368689.6578
594	368630.813
595	368608.0477
596	368572.7068
597	368550.1639
598	368527.8188
599	368485.9687
600	368463.7845
601	368441.7922
602	368419.7999
603	368326.3626
604	368264.005
605	367804.2551
606	367767.8543
607	366939.3005
608	366900.8896
609	366878.0419
610	366837.3814
611	366046.0379
612	366023.0899
613	365923.1052
614	365618.4641
615	365576.622
616	365553.8499
617	365300.1625
618	365277.4553
619	365241.9806
620	364855.2804
621	364832.4608
622	364786.8607
623	364750.2399
624	364727.7151
625	364622.1177
626	364600.1059
627	364565.3704
628	364543.6832
629	364401.0944
630	364347.509
631	364325.9804
632	364304.7119
633	364283.5655
634	364228.9027
635	364195.0551
636	364153.8718
637	364101.0801
638	363980.251
639	363959.1822
640	363938.2733
641	363905.3409
642	363845.5986
643	363824.8031
644	363769.1038
645	363748.5278
646	363708.6519
647	363688.1256
648	363667.7445
649	363190.2898
650	363132.9892
651	363112.6302
652	363092.4697
653	363051.2766
654	363018.9289
655	362973.1227
656	362838.5353
657	362818.4613
658	362646.8871
659	362427.1381
660	362406.982
661	362370.3724
662	362350.4029
663	361579.8363
664	360950.6616
665	360918.3247
666	360897.5663
667	360859.0141
668	360836.739
669	360781.4138
670	360761.4725
671	360709.804
672	360239.8827
673	360206.3953
674	360102.9894
675	360082.9305
676	359649.3657
677	359618.3077
678	358883.1859
679	358624.9446
680	358508.9851
681	358488.1016
682	358456.3069
683	358435.8566
684	358407.5549
685	358387.3418
686	358367.5436
687	358334.8811
688	358315.1845
689	358295.717
690	358276.4115
691	358209.0231
692	358129.0529
693	357710.3746
694	357690.9432
695	357671.7039
696	357499.6663
697	356838.0912
698	356346.2903
699	356310.0034
700	356290.443
701	356141.6276
702	356095.5397
703	356066.7894
704	356045.6196
705	356026.4497
706	356007.4869
707	355988.6418
708	355741.197
709	355722.0676
710	355692.8785
711	355659.6838
712	355560.0627
713	355541.2745
714	355496.966
715	354869.8097
716	354850.7716
717	354397.0226
718	354360.4543
719	354330.7328
720	354302.9908
721	354284.2516
722	354265.6708
723	354247.3012
724	354229.0333
725	354195.0132
726	354143.4161
727	354125.2461
728	354107.2005
729	353913.2468
730	353887.2781
731	353869.323
732	353851.5395
733	353792.1374
734	353774.4563
735	353682.7727
736	353627.1563
737	353599.2082
738	353579.3542
739	353543.6899
740	353526.1187
741	353361.4516
742	353341.8469
743	353050.8652
744	353033.0741
745	352990.3577
746	352933.9875
747	352916.5007
748	352881.347
749	352817.9202
750	352784.1271
751	352766.7933
752	352749.5193
753	352731.8211
754	352714.8107
755	352687.8537
756	352670.943
757	352636.8568
758	352606.2634
759	352463.1348
760	352292.6675
761	352275.7243
762	352258.9335
763	352242.3039
764	352225.7657
765	352183.3548
766	352022.6464
767	352006.1712
768	351879.0216
769	351725.0023
770	351397.4261
771	351000.8635
772	350703.7938
773	350677.5414
774	350645.1231
775	350617.7012
776	350601.0936
777	350575.8947
778	350559.4906
779	350502.0863
780	350485.8148
781	350469.6014
782	350451.9799
783	349973.1041
784	349812.7109
785	349575.9267
786	349433.2117
787	349322.9199
788	349121.2644
789	349104.5607
790	349074.8158
791	348925.0278
792	348542.7009
793	348506.2669
794	348489.6448
795	348448.711
796	348416.6088
797	348371.8412
798	348355.3986
799	348339.2649
800	348323.2835
801	348246.4639
802	348221.0751
803	348205.2182
804	348172.8301
805	348156.3252
806	348140.7008
807	348116.156
808	348100.6157
809	348085.1369
810	347822.6411
811	347790.9535
812	347775.4546
813	347746.1832
814	347730.9013
815	347701.4165
816	347672.8349
817	347657.6618
818	347627.5754
819	347570.8567
820	347536.7052
821	347407.9281
822	346901.1024
823	346885.6044
824	346861.8794
825	346727.159
826	346347.9257
827	346332.5505
828	346247.0956
829	346218.3155
830	346195.1029
831	346179.9171
832	346140.6834
833	346062.2121
834	345856.792
835	345833.46
836	345804.2636
837	345789.1825
838	345645.2652
839	345588.4687
840	345562.4752
841	345507.7138
842	345492.7503
843	345470.2712
844	345455.4264
845	345440.6383
846	345068.8707
847	344591.4557
848	344576.3496
849	344561.5276
850	344546.8239
851	344523.6753
852	344501.6964
853	344464.6075
854	344443.4726
855	344423.012
856	344401.2237
857	344386.6217
858	344317.2925
859	344257.5095
860	344242.9494
861	344228.4104
862	344213.9881
863	344199.6551
864	344178.6909
865	344164.4498
866	344150.2897
867	344136.242
868	344122.2151
869	344097.658
870	344040.6544
871	344026.5501
872	344012.6128
873	343975.0194
874	343823.6004
875	343809.593
876	343795.717
877	343781.9381
878	343746.3657
879	343732.6632
880	343718.2797
881	343697.1193
882	343648.1083
883	343628.3219
884	343614.6748
885	342996.8665
886	342983.0632
887	342904.5302
888	342882.9433
889	342869.2877
890	342671.8524
891	342658.0971
892	342637.9253
893	342624.3291
894	342519.7227
895	341919.4176
896	341905.5488
897	341884.092
898	341452.3904
899	341438.4869
900	341424.843
901	341402.4003
902	341387.8464
903	341354.206
904	341340.8106
905	341322.1843
906	341308.8208
907	341295.5744
908	341282.3882
909	341269.2749
910	341216.2671
911	340781.6186
912	340498.1661
913	339926.3566
914	339905.9757
915	339381.0989
916	339366.4864
917	339353.1126
918	338959.7651
919	338939.5888
920	338445.0619
921	338423.1017
922	338409.5889
923	338115.2463
924	337837.7343
925	337768.6544
926	337714.9787
927	337682.5788
928	337604.5376
929	337551.2729
930	337527.3955
931	337514.033
932	337500.8366
933	337487.7428
934	337474.724
935	337461.8194
936	337038.8849
937	337018.2205
938	336998.2427
939	336985.3872
940	336879.7838
941	336867.0063
942	336854.3208
