iter	MultiClass
0	1.083817927
1	1.06611966
2	1.050705545
3	1.037839896
4	1.028019264
5	1.017077185
6	1.006712101
7	0.9981884022
8	0.9901496873
9	0.9813446934
10	0.9735716027
11	0.9671453544
12	0.9608068352
13	0.9559315533
14	0.9500548882
15	0.9432491407
16	0.9391779496
17	0.9354992687
18	0.9303584564
19	0.9267198459
20	0.9229883154
21	0.9195049886
22	0.9172802629
23	0.914149283
24	0.9107498375
25	0.9070248134
26	0.9043462708
27	0.9009736328
28	0.8980213038
29	0.8958351655
30	0.8935513619
31	0.8927748648
32	0.8907888674
33	0.8884332824
34	0.8860050263
35	0.8843127689
36	0.8822948895
37	0.8796512833
38	0.8783572697
39	0.8762021919
40	0.8742869537
41	0.8715032564
42	0.8704156382
43	0.8685324479
44	0.8673144223
45	0.8663710646
46	0.8652463659
47	0.8635353962
48	0.8627494726
49	0.8614670405
50	0.8606147773
51	0.8589087866
52	0.8578255234
53	0.8571778457
54	0.8564692444
55	0.855865473
56	0.8550466281
57	0.854320009
58	0.853422063
59	0.8514557959
60	0.8504431835
61	0.8495076405
62	0.8482649343
63	0.8470668012
64	0.8464727968
65	0.8453415356
66	0.8440124083
67	0.842300714
68	0.8415968118
69	0.8407047104
70	0.8387447429
71	0.8372945592
72	0.8368941773
73	0.8362354593
74	0.8353214949
75	0.8344860258
76	0.8328560706
77	0.8321669282
78	0.831662372
79	0.8307831211
80	0.827652409
81	0.8266896645
82	0.8251830508
83	0.8241016169
84	0.8229376756
85	0.8218206251
86	0.820678968
87	0.8198905106
88	0.818518486
89	0.8173620071
90	0.8165727099
91	0.815197025
92	0.8134609828
93	0.8110993961
94	0.8096760176
95	0.8075846008
96	0.8059719459
97	0.8049174544
98	0.8036288561
99	0.8021395606
100	0.799366217
101	0.797922212
102	0.7967616907
103	0.7950632885
104	0.7933478902
105	0.7914611057
106	0.7892782577
107	0.7869521438
108	0.7856241525
109	0.7839423455
110	0.7819835649
111	0.780802944
112	0.7797205838
113	0.7782747038
114	0.7770991755
115	0.7756199582
116	0.7733647591
117	0.7722879738
118	0.7706959374
119	0.76893136
120	0.7677011803
121	0.7666188728
122	0.7654745189
123	0.764193747
124	0.7633099801
125	0.7617663588
126	0.7602052205
127	0.7583421228
128	0.7565006592
129	0.7546708887
130	0.7520880943
131	0.7510527799
132	0.7490264293
133	0.747494103
134	0.7463218739
135	0.7448501622
136	0.743008542
137	0.7415877048
138	0.7401916028
139	0.7382349221
140	0.7367816534
141	0.7352740025
142	0.7334737917
143	0.7317372551
144	0.7308135414
145	0.7289818074
146	0.7279523587
147	0.7268324214
148	0.7245454989
149	0.7231454907
