iter	Passed	Remaining
317	3084	6614
318	3092	6601
319	3107	6602
320	3114	6587
321	3116	6562
322	3123	6547
323	3132	6535
324	3140	6521
325	3148	6508
326	3156	6495
327	3164	6483
328	3177	6479
329	3180	6456
330	3194	6457
331	3206	6451
332	3214	6438
333	3223	6427
334	3236	6424
335	3243	6410
336	3251	6396
337	3258	6382
338	3272	6381
339	3280	6367
340	3287	6353
341	3297	6343
342	3305	6332
343	3318	6328
344	3325	6313
345	3333	6300
346	3340	6285
347	3353	6283
348	3362	6272
349	3371	6260
350	3385	6259
351	3398	6256
352	3413	6256
353	3422	6244
354	3431	6233
355	3438	6219
356	3450	6215
357	3464	6211
358	3477	6210
359	3488	6202
360	3495	6188
361	3503	6174
362	3516	6170
363	3528	6164
364	3540	6159
365	3552	6154
366	3555	6132
367	3568	6127
368	3581	6124
369	3588	6110
370	3596	6098
371	3605	6086
372	3617	6081
373	3624	6067
374	3631	6052
375	3642	6045
376	3650	6032
377	3663	6028
378	3671	6016
379	3684	6012
380	3692	5998
381	3703	5991
382	3712	5980
383	3724	5974
384	3730	5959
385	3733	5938
386	3744	5931
387	3752	5919
388	3764	5913
389	3772	5899
390	3779	5887
391	3786	5873
392	3799	5867
393	3802	5848
394	3810	5836
395	3822	5829
396	3830	5818
397	3838	5806
398	3846	5793
399	3854	5781
400	3862	5769
401	3873	5762
402	3882	5751
403	3889	5738
404	3901	5732
405	3911	5722
406	3925	5718
407	3931	5704
408	3938	5691
409	3946	5678
