iter	RMSE
914	54596.82793
915	54573.65096
916	54553.62319
917	54532.43409
918	54513.97129
919	54505.99257
920	54491.1954
921	54468.43708
922	54453.53912
923	54433.44917
924	54417.95399
925	54383.427
926	54343.44689
927	54319.90192
928	54297.98495
929	54280.06577
930	54245.97025
931	54231.24108
932	54197.63995
933	54171.78833
934	54156.7139
935	54138.83631
936	54124.27329
937	54117.41013
938	54080.38994
939	54056.50721
940	54018.79902
941	54001.19315
942	53966.48992
943	53948.06294
944	53926.03555
945	53898.75891
946	53865.12559
947	53841.49745
948	53819.85851
949	53782.44611
950	53761.68243
951	53733.91134
952	53713.71796
953	53700.1049
954	53673.23762
955	53624.88484
956	53610.32578
957	53591.0201
958	53569.95013
959	53546.83315
960	53517.8306
961	53486.49268
962	53453.30505
963	53431.16498
964	53416.8363
965	53390.62001
966	53371.95047
967	53361.0507
968	53342.4741
969	53323.7938
970	53306.18345
971	53264.57705
972	53252.41623
973	53235.78048
974	53214.98642
975	53183.32429
976	53143.77316
977	53120.98817
978	53099.8359
979	53082.47709
980	53045.32724
981	53023.8389
982	53009.26815
983	52987.31599
984	52981.03265
985	52953.94409
986	52923.97001
987	52906.35736
988	52881.25686
989	52864.17687
990	52830.98118
991	52793.04043
992	52747.88836
993	52730.2039
994	52711.13588
995	52664.2106
996	52645.98409
997	52625.5957
998	52606.99126
999	52590.29928
